conduct,进行,实施,行为,举止,
decline,减少,下降,衰退,衰弱,
purchase,买,购买,购买的东西,,
contact,取得联系,接触,联系,交往,
despite,尽管,虽然,,,
enhance,提高,增强,,,
eventually,终于,最后,,,
motivate,激发,激励,,,
superior,较好的,更强的,上级,长官,
facility,设备,设施,,,
represent,代表,等于,相当于,,
capacity,能力,才能,生产能力,,
attach,连接,固定,附上,,
trend,趋势,倾向,,,
commit,承诺,保证,犯错,干坏事,
construction,建筑物,建筑,建造,结构,
corporate,公司的,全体的,共同的,,
diminish,减少,缩小,,,
distinguish,区别,辨别,使杰出,使扬名,
option,选择,供选择的事物,选项,,
pose,造成,引起,,,
priority,优先权,优先考虑的事,,,
reveal,揭露,泄露,,,
track,方向,路径,轨道,歌曲,跟踪
advocate,主张,拥护,鼓吹,提倡者,拥护者
assess,评价,估计,,,
assumption,假定,假设,,,
attribute,归因于,属性,特质,,
demonstrate,论证,证明,表露,显示,
eliminate,消除,淘汰,,,
embrace,拥抱,欣然接受,,,
emission,散发,排放,散发物,排放物,
encounter,偶然碰到,遭遇,相遇,邂逅,
essential,必要的,必不可少的,,,
expense,费用,花费,,,
inform,告诉,通知,,,
notion,概念,观念,,,
recession,衰退,萧条,,,
recommend,推荐,举荐,劝告,建议,
regulation,规定,规则,管理,控制,
sophisticated,见多识广的,精密的,尖端的,,
shrink,收缩,变小,缩小,,
upgrade,使升级,提高,改善,,
vital,必不可少的,极其重要的,,,
appropriate,适当的,恰当的,,,
anticipate,预计,预料,,,
circumstance,情形,情况,状况,境况,
boost,促进,推动,使兴旺,,
cater,迎合,投合,提供饮食,承办酒席,
cognitive,认知的,,,,
collapse,崩溃,突然瓦解,,,
counterpart,对应的物,职位,,,
curriculum,课程,,,,
embed,使嵌入,嵌入,使…扎根于,,
emerge,出现,浮现,,,
engage,参加,吸引,,,
exert,尽力,努力,施加,,
expertise,专门知识,专长,,,
grand,富丽的,壮观的,宏观的,极好的,
incentive,刺激,鼓励,动力,,
obstacle,障碍,妨碍,,,
patent,专利的,专利,获得专利权,,
principal,最重要的,首要的,主要的,中小学校长,
shed,去除,摆脱,棚屋,,
prior,在前的,优先的,,,
remedy,补救,药物,纠正,,
rigorous,严密的,缜密的,严格的,严厉的,
stimulate,刺激,促进,激发,激励,
tackle,对付,处理,,,
transfer,转移,调动,,,
